temperature(C),frequency(THz)
19.11,384.2316
*18.70,384.2188
*18.65,384.2194
18.62,384.2198
*18.55,384.2214
*18.46,384.2223
*18.40,384.2180
*18.27,384.2301
*18.21,384.2130
18.08,384.2108/384.1940/384.1772
*17.65,384.2182
*17.60,384.2190
*17.55,384.2005
17.47,384.2262
*17.10,384.1999
17.01,384.2236
*16.58,384.2180
16.48,384.2110
*16.38,384.1920
16.37,384.2075
*16.55,384.2150
*16.65,384.2225
*16.71,384.2219
*16.77,384.2160
*16.99,384.2124
*17.38,384.1742
*17.50, 384.1800
*17.75, 384.2218
*17.83,384.2163
17.90,384.3850
*18.60,384.1940
*18.80,384.2215
*18.94,384.2152
*19.14,384.2204
*19.35,384.2050
*19.45,384.1926
*19.55,384.2050
*19.61,384.2214
19.36,384.2259
19.65,384.2201
19.70,384.2156
19.88,384.2122
19.85,384.2156
20.07,384.2086
20.19,384.2328
20.33,384.2156/384.2072/384.1985
20.58,384.2488/384.2306
20.80,384.2628/384.2468/384.2302/384.2212
20.54,384.2312
20.68,384.2237
20.79,384.2272
20.80,384.2340
20.95,384.2219
21.14,384.2340
21.27,384.2283
21.19,384.2358/384.2278
21.67,384.2563/384.2315
21.99,384.2366
22.34,384.2343
22.87,384.2400
23.07,384.2331
23.34,384.2288
23.29,384.2262